iteration,search_time,precision,recall,f1_score,specificity,far,frr
1,4.39442941598827,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
2,4.396670082001947,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
3,5.067602767958306,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
4,5.814682594966143,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
5,5.814533648954239,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
6,5.765768687007949,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
7,6.897980218054727,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
8,6.8401927489903755,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
9,6.881146165018436,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
10,6.909714334993623,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
11,6.165344641951378,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
12,6.149543508014176,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
13,6.131899563013576,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
14,6.176368309010286,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
15,6.299608637986239,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
16,6.195472482009791,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
17,6.189292682975065,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
18,6.434861286950763,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
19,6.380420724046417,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
20,6.138697832997423,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
21,5.257286561012734,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
22,6.161362988001201,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
23,6.173576327972114,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
24,6.159302218002267,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
25,6.112049611983821,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
26,6.1692867139936425,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
27,6.162744492001366,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
28,6.167501512973104,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
29,6.22916087397607,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
30,6.2027451490284875,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
31,4.260686051042285,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
32,4.679925289005041,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
33,5.397972907987423,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
34,6.120209384011105,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
35,6.127773090032861,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
36,6.14286316500511,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
37,6.14315620198613,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
38,6.161458240996581,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
39,6.08207223599311,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
40,6.223463516973425,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
41,3.6343834350118414,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
42,4.2818424720317125,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
