iteration,search_time,precision,recall,f1_score,specificity,far,frr
1,10.692291158018634,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
2,13.278890224988572,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
3,13.397309329011478,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
4,10.905171794001944,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
5,12.823253103008028,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
6,12.197140380041674,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
7,13.068496204039548,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
8,12.971676132990979,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
9,12.514297279005405,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
10,12.25723939499585,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
11,1.964904883003328,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
12,0.6072275430196896,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
13,1.7557117349933833,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
14,2.2423695610486902,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
15,1.7599531849846244,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
16,1.8693194409715943,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
17,1.7934682640479878,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
18,1.3990251810173504,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
19,1.913477347989101,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
20,2.130785674031358,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
21,0.9518468290334567,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
22,1.121135120978579,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
23,1.8098799959989265,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
24,2.08036251104204,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
25,1.5241118500125594,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
26,1.6669037560350262,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
27,1.4903262399602681,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
28,2.1729744320036843,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
29,2.0209374770056456,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
30,2.2092204859945923,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
31,1.8097977939760312,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
32,1.5335614260402508,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
33,1.621624376042746,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
34,0.9933899220195599,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
35,1.7840415519895032,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
36,1.5944940429762937,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
37,2.2448428289499134,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
38,2.0008935700170696,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
39,2.0240898529882543,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
40,2.107217706972733,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
41,0.31736311299027875,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
42,0.33826055901590735,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
43,2.255831675021909,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
44,0.7259204619913362,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
45,2.3702440870110877,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
46,2.212252981029451,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
47,2.092856473987922,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
48,1.785112255020067,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
49,1.7194986499962397,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
50,0.8754594729980454,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
51,0.8256969509529881,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
52,1.1304489910253324,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
53,1.0442306590266526,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
54,1.0106650610105135,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
55,1.0865335770067759,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
56,0.9365983519819565,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
57,1.156190519046504,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
58,1.0459050580393523,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
59,1.1498873480013572,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
60,1.1700555399875157,0.225,0.11448140900195694,0.1517509727626459,0.9499627514278619,0.050037248572138066,0.8855185909980431
