iteration,search_time,precision,recall,f1_score
1,0.04972746299972641,0.0,0.0,0.0
2,0.04420546799883596,0.0,0.0,0.0
3,0.04219284999999218,0.0,0.0,0.0
4,0.11342453199904412,0.0,0.0,0.0
5,0.035625342001367244,0.0,0.0,0.0
6,0.08355851099986467,0.0,0.0,0.0
7,0.041407665999940946,0.0,0.0,0.0
8,0.04980987199996889,0.0,0.0,0.0
9,0.051457650000884314,0.0,0.0,0.0
10,0.04886566999994102,0.0,0.0,0.0
11,0.06427853199966194,0.0,0.0,0.0
12,0.03824292399986007,0.0,0.0,0.0
13,0.07420000199999777,0.0,0.0,0.0
14,0.05024101900016831,0.0,0.0,0.0
15,0.05206601499958197,0.0,0.0,0.0
16,0.06660948299941083,0.0,0.0,0.0
17,0.06055362999904901,0.0,0.0,0.0
18,0.07054490799964697,0.0,0.0,0.0
19,0.056530596999436966,0.0,0.0,0.0
20,0.06916305899903818,0.0,0.0,0.0
21,0.05934439999873575,0.0,0.0,0.0
22,0.07812662599826581,0.3,1.0,0.46153846153846156
23,0.05935350099935022,0.3,1.0,0.46153846153846156
24,0.2568688029987243,0.3,1.0,0.46153846153846156
25,0.03586506800093048,0.3,1.0,0.46153846153846156
26,0.020916655999826617,0.3,1.0,0.46153846153846156
27,0.02438222999990103,0.3,1.0,0.46153846153846156
28,0.028380960000504274,0.3,1.0,0.46153846153846156
29,0.015487069998926017,0.3,1.0,0.46153846153846156
30,0.043617004001134774,0.3,1.0,0.46153846153846156
31,0.23388642399913806,0.3,1.0,0.46153846153846156
32,0.026112916000784026,0.3,1.0,0.46153846153846156
33,0.0549259230010648,0.3,1.0,0.46153846153846156
34,0.035878969998520915,0.3,1.0,0.46153846153846156
35,0.033702933998938533,0.3,1.0,0.46153846153846156
36,0.02942147300018405,0.3,1.0,0.46153846153846156
37,0.037007191000157036,0.3,1.0,0.46153846153846156
38,0.03855845900034183,0.3,1.0,0.46153846153846156
39,0.07918674000029569,0.3,1.0,0.46153846153846156
40,0.17120736399920133,0.3,1.0,0.46153846153846156
41,0.041784507000556914,0.3,1.0,0.46153846153846156
42,0.032888946998355095,0.3,1.0,0.46153846153846156
43,0.04732410299948242,0.3,1.0,0.46153846153846156
44,0.035396916999161476,0.3,1.0,0.46153846153846156
45,0.01693272600095952,0.3,1.0,0.46153846153846156
46,0.030190856001354405,0.3,1.0,0.46153846153846156
47,0.03482545599945297,0.3,1.0,0.46153846153846156
48,0.055560591999892495,0.3,1.0,0.46153846153846156
49,0.04674103999968793,0.3,1.0,0.46153846153846156
50,0.04341258199929143,0.3,1.0,0.46153846153846156
51,0.0328409419998934,0.3,1.0,0.46153846153846156
52,0.04520797500117624,0.3,1.0,0.46153846153846156
53,0.028862012000899995,0.3,1.0,0.46153846153846156
54,0.04190661999928125,0.3,1.0,0.46153846153846156
55,0.026758886000607163,0.3,1.0,0.46153846153846156
