iteration,search_time,precision,recall,f1_score,specificity,far,frr
1,20.057679477962665,0.0637592788971368,0.23497801660967269,0.1003023668022104,0.9183600342141156,0.08163996578588437,0.7650219833903273
2,19.9104432919994,0.0637592788971368,0.23497801660967269,0.1003023668022104,0.9183600342141156,0.08163996578588437,0.7650219833903273
3,20.4323907889775,0.0637592788971368,0.23497801660967269,0.1003023668022104,0.9183600342141156,0.08163996578588437,0.7650219833903273
4,20.380154808983207,0.0637592788971368,0.23497801660967269,0.1003023668022104,0.9183600342141156,0.08163996578588437,0.7650219833903273
5,20.215871524007525,0.06365203553905317,0.2344894968246214,0.10012515644555695,0.9183831518598146,0.0816168481401854,0.7655105031753786
6,19.79323209100403,0.06362672322375397,0.2344894968246214,0.10009383797309979,0.9183484753912662,0.08165152460873384,0.7655105031753786
7,20.035878936003428,0.06362672322375397,0.2344894968246214,0.10009383797309979,0.9183484753912662,0.08165152460873384,0.7655105031753786
8,19.898753788962495,0.0637508283631544,0.23497801660967269,0.10029190992493744,0.9183484753912662,0.08165152460873384,0.7650219833903273
9,20.311272210034076,0.0637508283631544,0.23497801660967269,0.10029190992493744,0.9183484753912662,0.08165152460873384,0.7650219833903273
10,20.31077467498835,0.0637592788971368,0.23497801660967269,0.1003023668022104,0.9183600342141156,0.08163996578588437,0.7650219833903273
11,6.1412849840126,0.06389183457051961,0.23546653639472398,0.10051089563132103,0.9183715930369651,0.08162840696303489,0.764533463605276
12,6.0400566949974746,0.06365203553905317,0.2344894968246214,0.10012515644555695,0.9183831518598146,0.0816168481401854,0.7655105031753786
13,6.2072561790118925,0.0637508283631544,0.23497801660967269,0.10029190992493744,0.9183484753912662,0.08165152460873384,0.7650219833903273
14,10.099337424035184,0.06365203553905317,0.2344894968246214,0.10012515644555695,0.9183831518598146,0.0816168481401854,0.7655105031753786
15,10.693685812002514,0.06365203553905317,0.2344894968246214,0.10012515644555695,0.9183831518598146,0.0816168481401854,0.7655105031753786
16,5.901067107042763,0.06363515842502983,0.2344894968246214,0.10010427528675704,0.9183600342141156,0.08163996578588437,0.7655105031753786
17,10.50958856602665,0.06365203553905317,0.2344894968246214,0.10012515644555695,0.9183831518598146,0.0816168481401854,0.7655105031753786
18,6.246737150999252,0.0637592788971368,0.23497801660967269,0.1003023668022104,0.9183600342141156,0.08163996578588437,0.7650219833903273
19,11.014638433000073,0.06365203553905317,0.2344894968246214,0.10012515644555695,0.9183831518598146,0.0816168481401854,0.7655105031753786
20,10.608867137052584,0.06365203553905317,0.2344894968246214,0.10012515644555695,0.9183831518598146,0.0816168481401854,0.7655105031753786
21,7.965582228032872,0.06383260495298636,0.23546653639472398,0.100437591164826,0.9182906812770187,0.08170931872298125,0.764533463605276
22,7.948541618010495,0.06396503774334525,0.23595505617977527,0.10064596790998125,0.9183022400998683,0.08169775990013177,0.7640449438202247
23,8.118814454996027,0.0638579756226815,0.23546653639472398,0.10046899426784783,0.9183253577455672,0.08167464225443281,0.764533463605276
24,7.876353889005259,0.06386643699483238,0.23546653639472398,0.10047946633312486,0.9183369165684167,0.08166308343158332,0.764533463605276
25,8.369176900014281,0.06396503774334525,0.23595505617977527,0.10064596790998125,0.9183022400998683,0.08169775990013177,0.7640449438202247
26,8.663399104960263,0.06411445224533051,0.23644357596482657,0.10087536473530638,0.9183369165684167,0.08166308343158332,0.7635564240351734
27,8.210760602960363,0.06397350993377483,0.23595505617977527,0.10065645514223195,0.9183137989227177,0.08168620107728229,0.7640449438202247
28,8.301287753973156,0.0638579756226815,0.23546653639472398,0.10046899426784783,0.9183253577455672,0.08167464225443281,0.764533463605276
29,7.580364675959572,0.0638579756226815,0.23546653639472398,0.10046899426784783,0.9183253577455672,0.08167464225443281,0.764533463605276
30,8.175587603996973,0.06399046104928457,0.23595505617977527,0.10067743616466909,0.9183369165684167,0.08166308343158332,0.7640449438202247
31,6.490429664030671,0.0638579756226815,0.23546653639472398,0.10046899426784783,0.9183253577455672,0.08167464225443281,0.764533463605276
32,6.9354118700139225,0.06395656779661017,0.23595505617977527,0.1006354828627982,0.9182906812770187,0.08170931872298125,0.7640449438202247
33,6.638386908045504,0.06395656779661017,0.23595505617977527,0.1006354828627982,0.9182906812770187,0.08170931872298125,0.7640449438202247
34,7.210218588006683,0.06397350993377483,0.23595505617977527,0.10065645514223195,0.9183137989227177,0.08168620107728229,0.7640449438202247
35,7.3607056949986145,0.0638579756226815,0.23546653639472398,0.10046899426784783,0.9183253577455672,0.08167464225443281,0.764533463605276
36,6.933720537985209,0.0638579756226815,0.23546653639472398,0.10046899426784783,0.9183253577455672,0.08167464225443281,0.764533463605276
37,5.892553323996253,0.06395656779661017,0.23595505617977527,0.1006354828627982,0.9182906812770187,0.08170931872298125,0.7640449438202247
38,6.25820268294774,0.06395656779661017,0.23595505617977527,0.1006354828627982,0.9182906812770187,0.08170931872298125,0.7640449438202247
39,6.8789195970166475,0.0638579756226815,0.23546653639472398,0.10046899426784783,0.9183253577455672,0.08167464225443281,0.764533463605276
40,6.392803592025302,0.06397350993377483,0.23595505617977527,0.10065645514223195,0.9183137989227177,0.08168620107728229,0.7640449438202247
41,6.467428934993222,0.06386643699483238,0.23546653639472398,0.10047946633312486,0.9183369165684167,0.08166308343158332,0.764533463605276
42,7.787069727026392,0.06386643699483238,0.23546653639472398,0.10047946633312486,0.9183369165684167,0.08166308343158332,0.764533463605276
43,8.121855541015975,0.0638579756226815,0.23546653639472398,0.10046899426784783,0.9183253577455672,0.08167464225443281,0.764533463605276
44,7.742458013002761,0.06399046104928457,0.23595505617977527,0.10067743616466909,0.9183369165684167,0.08166308343158332,0.7640449438202247
45,8.066567659960128,0.0638579756226815,0.23546653639472398,0.10046899426784783,0.9183253577455672,0.08167464225443281,0.764533463605276
46,7.932517318986356,0.06386643699483238,0.23546653639472398,0.10047946633312486,0.9183369165684167,0.08166308343158332,0.764533463605276
47,7.5563479779521,0.0638579756226815,0.23546653639472398,0.10046899426784783,0.9183253577455672,0.08167464225443281,0.764533463605276
48,8.39034612098476,0.0638579756226815,0.23546653639472398,0.10046899426784783,0.9183253577455672,0.08167464225443281,0.764533463605276
49,7.666840499965474,0.0638579756226815,0.23546653639472398,0.10046899426784783,0.9183253577455672,0.08167464225443281,0.764533463605276
50,7.153133781044744,0.0638579756226815,0.23546653639472398,0.10046899426784783,0.9183253577455672,0.08167464225443281,0.764533463605276
51,5.887071812991053,0.06399046104928457,0.23595505617977527,0.10067743616466909,0.9183369165684167,0.08166308343158332,0.7640449438202247
52,6.475389914994594,0.06397350993377483,0.23595505617977527,0.10065645514223195,0.9183137989227177,0.08168620107728229,0.7640449438202247
53,6.333107772981748,0.06386643699483238,0.23546653639472398,0.10047946633312486,0.9183369165684167,0.08166308343158332,0.764533463605276
54,7.018657059001271,0.06396503774334525,0.23595505617977527,0.10064596790998125,0.9183022400998683,0.08169775990013177,0.7640449438202247
55,6.894775089982431,0.0638579756226815,0.23546653639472398,0.10046899426784783,0.9183253577455672,0.08167464225443281,0.764533463605276
56,7.079254465003032,0.0638579756226815,0.23546653639472398,0.10046899426784783,0.9183253577455672,0.08167464225443281,0.764533463605276
57,6.847802811011206,0.06398198436879057,0.23595505617977527,0.10066694456023344,0.9183253577455672,0.08167464225443281,0.7640449438202247
58,6.364799553994089,0.06399046104928457,0.23595505617977527,0.10067743616466909,0.9183369165684167,0.08166308343158332,0.7640449438202247
59,7.581683241005521,0.0638579756226815,0.23546653639472398,0.10046899426784783,0.9183253577455672,0.08167464225443281,0.764533463605276
60,6.851841480995063,0.06399046104928457,0.23595505617977527,0.10067743616466909,0.9183369165684167,0.08166308343158332,0.7640449438202247
61,6.63175203098217,0.06398198436879057,0.23595505617977527,0.10066694456023344,0.9183253577455672,0.08167464225443281,0.7640449438202247
62,6.465320768998936,0.06397350993377483,0.23595505617977527,0.10065645514223195,0.9183137989227177,0.08168620107728229,0.7640449438202247
63,7.217173978046048,0.06398198436879057,0.23595505617977527,0.10066694456023344,0.9183253577455672,0.08167464225443281,0.7640449438202247
64,7.442186474974733,0.0638579756226815,0.23546653639472398,0.10046899426784783,0.9183253577455672,0.08167464225443281,0.764533463605276
65,6.16376454901183,0.06399046104928457,0.23595505617977527,0.10067743616466909,0.9183369165684167,0.08166308343158332,0.7640449438202247
66,6.272273913025856,0.06397350993377483,0.23595505617977527,0.10065645514223195,0.9183137989227177,0.08168620107728229,0.7640449438202247
67,7.100062926998362,0.0638579756226815,0.23546653639472398,0.10046899426784783,0.9183253577455672,0.08167464225443281,0.764533463605276
68,6.617047070991248,0.06396503774334525,0.23595505617977527,0.10064596790998125,0.9183022400998683,0.08169775990013177,0.7640449438202247
69,7.352298735990189,0.06398198436879057,0.23595505617977527,0.10066694456023344,0.9183253577455672,0.08167464225443281,0.7640449438202247
70,7.123876494995784,0.0638579756226815,0.23546653639472398,0.10046899426784783,0.9183253577455672,0.08167464225443281,0.764533463605276
71,6.414196903991979,0.06397350993377483,0.23595505617977527,0.10065645514223195,0.9183137989227177,0.08168620107728229,0.7640449438202247
72,7.735775717010256,0.0638579756226815,0.23546653639472398,0.10046899426784783,0.9183253577455672,0.08167464225443281,0.764533463605276
73,6.0891622269991785,0.06398198436879057,0.23595505617977527,0.10066694456023344,0.9183253577455672,0.08167464225443281,0.7640449438202247
74,6.979795332998037,0.06396503774334525,0.23595505617977527,0.10064596790998125,0.9183022400998683,0.08169775990013177,0.7640449438202247
75,7.714346576016396,0.06397350993377483,0.23595505617977527,0.10065645514223195,0.9183137989227177,0.08168620107728229,0.7640449438202247
76,7.314861572987866,0.06397350993377483,0.23595505617977527,0.10065645514223195,0.9183137989227177,0.08168620107728229,0.7640449438202247
77,7.1933566319639795,0.06396503774334525,0.23595505617977527,0.10064596790998125,0.9183022400998683,0.08169775990013177,0.7640449438202247
78,7.773900368949398,0.06386643699483238,0.23546653639472398,0.10047946633312486,0.9183369165684167,0.08166308343158332,0.764533463605276
79,7.039292969973758,0.06399046104928457,0.23595505617977527,0.10067743616466909,0.9183369165684167,0.08166308343158332,0.7640449438202247
80,7.1792868170305155,0.06396503774334525,0.23595505617977527,0.10064596790998125,0.9183022400998683,0.08169775990013177,0.7640449438202247
81,5.3716122129699215,0.06399893997614946,0.23595505617977527,0.10068792995622264,0.9183484753912662,0.08165152460873384,0.7640449438202247
82,7.063406379020307,0.0638579756226815,0.23546653639472398,0.10046899426784783,0.9183253577455672,0.08167464225443281,0.764533463605276
83,6.967679624969605,0.06398198436879057,0.23595505617977527,0.10066694456023344,0.9183253577455672,0.08167464225443281,0.7640449438202247
84,6.713836740003899,0.06397350993377483,0.23595505617977527,0.10065645514223195,0.9183137989227177,0.08168620107728229,0.7640449438202247
85,7.213375164952595,0.06398198436879057,0.23595505617977527,0.10066694456023344,0.9183253577455672,0.08167464225443281,0.7640449438202247
86,6.890092685003765,0.0638579756226815,0.23546653639472398,0.10046899426784783,0.9183253577455672,0.08167464225443281,0.764533463605276
87,6.508446970954537,0.06398198436879057,0.23595505617977527,0.10066694456023344,0.9183253577455672,0.08167464225443281,0.7640449438202247
88,6.5366695749689825,0.06397350993377483,0.23595505617977527,0.10065645514223195,0.9183137989227177,0.08168620107728229,0.7640449438202247
89,6.866922902001534,0.0638579756226815,0.23546653639472398,0.10046899426784783,0.9183253577455672,0.08167464225443281,0.764533463605276
