iteration,search_time
1,0.19564693099982833
2,0.2260929760000181
3,0.2462795940000433
4,0.2525919499998963
5,0.2588899039997159
6,0.26609806699980254
7,0.2705348990002676
8,0.2703672780003217
9,0.2713229930000125
10,0.28567801200006215
11,0.28227770500006955
12,0.2901222450000205
13,0.28489121800021167
14,0.29058469899973716
15,0.2929433819999758
16,0.3059981459996379
17,0.308832485000039
18,0.31390249299965944
19,0.31449966399986806
20,0.31741601300018374
21,0.3227018459997453
22,0.3253340610003761
23,0.3249079099996379
24,0.3334723359998861
25,0.33882887700019637
26,0.3374888160001319
27,0.34927762899997106
28,0.3463662799999838
29,0.348180197000147
30,0.3562328619996151
31,0.35745300799999313
32,0.36505461800015837
33,0.3715976009998485
34,0.37892347899969536
35,0.3842903220001972
36,0.3924235959998441
37,0.40296615900024335
38,0.40965035899989743
39,0.4141798020000351
40,0.4215949899999032
41,0.4314581700000417
42,0.4396996579998813
43,0.4508697950000169
44,0.4529031390002274
45,0.4620492340000055
46,0.46525381799983734
47,0.4724019740001495
48,0.4839757599997938
49,0.4934394929996415
50,0.504581528000017
51,0.5642119680001088
52,0.5307042559998081
53,0.557596176000061
54,0.5228596160000052
55,0.5346985350001887
56,0.5168530970004213
57,0.5254500269998061
58,0.5122925509999732
59,0.5317942870001389
60,0.5466399649999403
61,0.5231399500003135
62,0.5265556589997686
63,0.5233490749997145
64,0.5246702340000411
65,0.5216463710003154
66,0.5132172609996815
67,0.5146084280004288
68,0.5155578419999074
69,0.5155055360000915
70,0.5289890500002912
71,0.527636989000257
72,0.5327148970000053
73,0.5335238940001545
74,0.5351835920000667
75,0.5445655160001479
76,0.5477802010000232
77,0.5445666160003384
78,0.5498144449998108
79,0.5525343699996483
80,0.5483728720000727
81,0.5544973050000408
82,0.5591389620003611
83,0.5554526199998691
84,0.5586966079999911
85,0.5536583050002264
86,0.5534343790000094
87,0.5426813910003148
88,0.5342712829997254
89,0.5633580670000811
90,0.5563903329998539
91,0.548131943000044
92,0.5452618989997973
93,0.537368054000126
94,0.5527348939999683
95,0.5490054470001269
96,0.549327586000345
97,0.5402692010002283
98,0.5564194359999419
99,0.5471114209999541
100,0.5475019680002333
search_time_mean,0.44454272349001256
search_time_std,0.10940271468013704
search_time_p90,0.553456771600031
search_time_p95,0.5564782729999479
search_time_p99,0.5633666060100814
rps,95.2752437815402
total_time,1.0495905970001331
successful_requests,100.0
