iteration,search_time,precision,recall,f1_score,specificity,far,frr
1,9.075409517041408,0.47061442564559214,0.9175347222222222,0.6221306650971159,0.9724312229732079,0.02756877702679203,0.08246527777777778
2,9.069362954935059,0.4688400975826125,0.9175347222222222,0.6205783061793629,0.9722341375192738,0.0277658624807262,0.08246527777777778
3,9.153434526990168,0.4725078229772016,0.9175347222222222,0.6237828267925641,0.9726399016891383,0.027360098310861728,0.08246527777777778
4,8.962440479081124,0.4694648012436154,0.9175347222222222,0.6211253121786396,0.9723036970912505,0.027696302908749436,0.08246527777777778
5,8.681929677026346,0.4692563817980022,0.9175347222222222,0.620942869731238,0.9722805105672583,0.02771948943274169,0.08246527777777778
6,8.981924857012928,0.4694648012436154,0.9175347222222222,0.6211253121786396,0.9723036970912505,0.027696302908749436,0.08246527777777778
7,9.54298970499076,0.46167285433500765,0.9175347222222222,0.6142670347232312,0.9714226091795448,0.028577390820455153,0.08246527777777778
8,9.506344937020913,0.46167285433500765,0.9175347222222222,0.6142670347232312,0.9714226091795448,0.028577390820455153,0.08246527777777778
9,9.879357049940154,0.46167285433500765,0.9175347222222222,0.6142670347232312,0.9714226091795448,0.028577390820455153,0.08246527777777778
10,9.683058416005224,0.46167285433500765,0.9175347222222222,0.6142670347232312,0.9714226091795448,0.028577390820455153,0.08246527777777778
11,4.965800471021794,0.47061442564559214,0.9175347222222222,0.6221306650971159,0.9724312229732079,0.02756877702679203,0.08246527777777778
12,5.414343721000478,0.4735663082437276,0.9175347222222222,0.6247044917257684,0.9727558343090995,0.02724416569090045,0.08246527777777778
13,5.422625117003918,0.4717696942646731,0.9175347222222222,0.6231392778187178,0.9725587488551654,0.027441251144834623,0.08246527777777778
14,5.021356333978474,0.4744165170556553,0.9175347222222222,0.6254437869822486,0.9728485804050686,0.027151419594931427,0.08246527777777778
15,5.469699437031522,0.4744165170556553,0.9175347222222222,0.6254437869822486,0.9728485804050686,0.027151419594931427,0.08246527777777778
16,5.1223136419430375,0.4692563817980022,0.9175347222222222,0.620942869731238,0.9722805105672583,0.02771948943274169,0.08246527777777778
17,5.122027228004299,0.46167285433500765,0.9175347222222222,0.6142670347232312,0.9714226091795448,0.028577390820455153,0.08246527777777778
18,4.585944463964552,0.47061442564559214,0.9175347222222222,0.6221306650971159,0.9724312229732079,0.02756877702679203,0.08246527777777778
19,5.567528242012486,0.46988219604356524,0.9175347222222222,0.6214905188887255,0.972350070139235,0.027649929860764925,0.08246527777777778
20,4.286529063014314,0.4694648012436154,0.9175347222222222,0.6211253121786396,0.9723036970912505,0.027696302908749436,0.08246527777777778
21,4.172842169064097,0.4748427672955975,0.9175347222222222,0.625814091178212,0.9728949534530531,0.027105046546946916,0.08246527777777778
22,4.5533644129754975,0.46167285433500765,0.9175347222222222,0.6142670347232312,0.9714226091795448,0.028577390820455153,0.08246527777777778
23,4.188875262974761,0.46988219604356524,0.9175347222222222,0.6214905188887255,0.972350070139235,0.027649929860764925,0.08246527777777778
24,4.067690105992369,0.4646153846153846,0.9175347222222222,0.6168660636124891,0.9717588137774326,0.028241186222567445,0.08246527777777778
25,4.32513501890935,0.4734602463605823,0.9175347222222222,0.6246122026887281,0.9727442410471034,0.027255758952896576,0.08246527777777778
26,4.742841714993119,0.4647175203341394,0.9175347222222222,0.616956077630235,0.9717704070394286,0.028229592960571315,0.08246527777777778
27,4.828811794985086,0.4641053787047201,0.9175347222222222,0.6164163872284589,0.9717008474674519,0.028299152532548083,0.08246527777777778
28,4.46989378798753,0.47019572953736655,0.9175347222222222,0.6217647058823529,0.9723848499252234,0.02761515007477654,0.08246527777777778
29,4.158726755995303,0.46738890117178866,0.9175347222222222,0.6193056979639666,0.9720718318513281,0.02792816814867199,0.08246527777777778
30,4.7816576700424775,0.46167285433500765,0.9175347222222222,0.6142670347232312,0.9714226091795448,0.028577390820455153,0.08246527777777778
31,3.6804677330655977,0.4747361329440826,0.9175347222222222,0.625721474026935,0.9728833601910569,0.027116639808943042,0.08246527777777778
32,4.240688062971458,0.4728248713934243,0.9175347222222222,0.624059040590406,0.9726746814751267,0.027325318524873344,0.08246527777777778
33,4.477704824996181,0.4727191413237925,0.9175347222222222,0.6239669421487604,0.9726630882131305,0.02733691178686947,0.08246527777777778
34,4.373618812998757,0.47293064876957497,0.9175347222222222,0.6241511662237968,0.9726862747371228,0.027313725262877217,0.08246527777777778
35,4.03261754498817,0.4719803527573119,0.9175347222222222,0.6233230134158927,0.9725819353791576,0.027418064620842366,0.08246527777777778
36,3.734509074012749,0.46319018404907975,0.9175347222222222,0.615608619685498,0.9715965081094867,0.028403491890513232,0.08246527777777778
37,3.6559591609984636,0.4716644355198572,0.9175347222222222,0.6230474506336575,0.9725471555931693,0.02745284440683075,0.08246527777777778
38,4.698062523966655,0.47219119946392674,0.9175347222222222,0.6235068573956644,0.9726051219031498,0.027394878096850112,0.08246527777777778
39,4.436354295001365,0.46167285433500765,0.9175347222222222,0.6142670347232312,0.9714226091795448,0.028577390820455153,0.08246527777777778
40,3.9426029949681833,0.46543372963452223,0.9175347222222222,0.6175869120654397,0.9718515598734015,0.02814844012659842,0.08246527777777778
41,3.6541056219721213,0.47388477919748934,0.9175347222222222,0.6249815225424982,0.9727906140950879,0.027209385904912065,0.08246527777777778
42,3.424165901960805,0.46988219604356524,0.9175347222222222,0.6214905188887255,0.972350070139235,0.027649929860764925,0.08246527777777778
43,4.462859433959238,0.4735663082437276,0.9175347222222222,0.6247044917257684,0.9727558343090995,0.02724416569090045,0.08246527777777778
